Source,Target,Type,Id,Label,timeset,Weight
107862852600046,140135619341279,Directed,253,,,1
107862852600046,6532933343,Directed,254,,,1
107862852600046,10123431179,Directed,255,,,1
107862852600046,223775841095322,Directed,256,,,1
107862852600046,11936918897,Directed,257,,,1
107862852600046,247567702035496,Directed,258,,,1
107862852600046,311627208673,Directed,259,,,1
107862852600046,332470896821689,Directed,260,,,1
107862852600046,109513529075499,Directed,261,,,1
107862852600046,104039439633602,Directed,262,,,1
107862852600046,107426055953546,Directed,263,,,1
107862852600046,115311591817424,Directed,264,,,1
107862852600046,117742638376,Directed,265,,,1
107862852600046,156675417721203,Directed,266,,,1
107862852600046,15619558455,Directed,267,,,1
107862852600046,154509241254453,Directed,268,,,1
107862852600046,109535305740402,Directed,269,,,1
107862852600046,29534858696,Directed,270,,,1
107862852600046,187658319076,Directed,271,,,1
107862852600046,121508321227159,Directed,272,,,1
107862852600046,109332599084622,Directed,273,,,1
107862852600046,142422188541,Directed,274,,,1
107862852600046,55482772043,Directed,275,,,1
107862852600046,202600256445667,Directed,276,,,1
107862852600046,173008447323,Directed,277,,,1
107862852600046,142500782467456,Directed,278,,,1
107862852600046,117230778296352,Directed,279,,,1
107862852600046,5988735115,Directed,280,,,1
107862852600046,163186720402848,Directed,281,,,1
107862852600046,120083818061072,Directed,282,,,1
107862852600046,7608631709,Directed,283,,,1
107862852600046,81446825757,Directed,284,,,1
107862852600046,120000351366783,Directed,285,,,1
107862852600046,124318344261878,Directed,286,,,1
107862852600046,130577231135,Directed,287,,,1
107862852600046,345111731888,Directed,288,,,1
107862852600046,66533446146,Directed,289,,,1
107862852600046,15576613667,Directed,290,,,1
107862852600046,6399628229,Directed,291,,,1
107862852600046,16547831022,Directed,292,,,1
107862852600046,127268003971731,Directed,293,,,1
107862852600046,13905281343,Directed,294,,,1
107862852600046,41118841152,Directed,295,,,1
107862852600046,10911153761,Directed,296,,,1
107862852600046,253062556897,Directed,297,,,1
179184988762983,238017446226022,Directed,298,,,1
179184988762983,29730817919,Directed,299,,,1
1261958363863388,1415312325409152,Directed,300,,,1
726781774124762,38975694700,Directed,301,,,1
726781774124762,34982003653,Directed,302,,,1
726781774124762,676129725834153,Directed,303,,,1
726781774124762,387967327970598,Directed,304,,,1
726781774124762,121027941252252,Directed,305,,,1
726781774124762,55876385420,Directed,306,,,1
726781774124762,19335874210,Directed,307,,,1
726781774124762,147896321153,Directed,308,,,1
726781774124762,113808585296395,Directed,309,,,1
726781774124762,241649119228121,Directed,310,,,1
726781774124762,78483042018,Directed,311,,,1
726781774124762,226109890736540,Directed,312,,,1
726781774124762,251490738585,Directed,313,,,1
726781774124762,693942704030658,Directed,314,,,1
726781774124762,334068286617557,Directed,315,,,1
726781774124762,214980405256637,Directed,316,,,1
726781774124762,66640207299,Directed,317,,,1
726781774124762,221051104686181,Directed,318,,,1
726781774124762,8359212186,Directed,319,,,1
726781774124762,126682977397868,Directed,320,,,1
726781774124762,298043743589859,Directed,321,,,1
726781774124762,350633431690490,Directed,322,,,1
726781774124762,210646799977,Directed,323,,,1
726781774124762,308940774021,Directed,324,,,1
726781774124762,461855527198509,Directed,325,,,1
726781774124762,301302863233,Directed,326,,,1
726781774124762,447694241971782,Directed,327,,,1
726781774124762,155214831298303,Directed,328,,,1
726781774124762,185091924972625,Directed,329,,,1
726781774124762,588363691213999,Directed,330,,,1
726781774124762,130940650274944,Directed,331,,,1
726781774124762,25598780760,Directed,332,,,1
726781774124762,421622984856525,Directed,333,,,1
726781774124762,112138497486,Directed,334,,,1
726781774124762,114288853688,Directed,335,,,1
726781774124762,232428443472012,Directed,336,,,1
726781774124762,60554441329,Directed,337,,,1
726781774124762,175286417298,Directed,338,,,1
726781774124762,121332043307,Directed,339,,,1
726781774124762,568332706546908,Directed,340,,,1
726781774124762,358811311551,Directed,341,,,1
726781774124762,107875671626,Directed,342,,,1
726781774124762,483053701851966,Directed,343,,,1
726781774124762,417784461645576,Directed,344,,,1
726781774124762,1844857902417426,Directed,345,,,1
726781774124762,321653937913319,Directed,346,,,1
726781774124762,208934559120548,Directed,347,,,1
726781774124762,279211112230938,Directed,348,,,1
726781774124762,249645148523526,Directed,349,,,1
726781774124762,154424564600210,Directed,350,,,1
726781774124762,78370231246,Directed,351,,,1
726781774124762,1620651164833966,Directed,352,,,1
726781774124762,116373061744199,Directed,353,,,1
726781774124762,52902998700,Directed,354,,,1
726781774124762,905592986216045,Directed,355,,,1
726781774124762,175695665870752,Directed,356,,,1
726781774124762,443470465748290,Directed,357,,,1
726781774124762,929339857102203,Directed,358,,,1
726781774124762,226446337740559,Directed,359,,,1
726781774124762,110005172656,Directed,360,,,1
726781774124762,371961619555228,Directed,361,,,1
726781774124762,1135453266482654,Directed,362,,,1
726781774124762,763347957082842,Directed,363,,,1
726781774124762,886825228030163,Directed,364,,,1
726781774124762,277085985664056,Directed,365,,,1
726781774124762,1417422711818858,Directed,366,,,1
726781774124762,415329491843430,Directed,367,,,1
726781774124762,110843684484,Directed,368,,,1
726781774124762,356527358185,Directed,369,,,1
726781774124762,1694350877453762,Directed,370,,,1
726781774124762,1431375647187015,Directed,371,,,1
726781774124762,1552809398364015,Directed,372,,,1
726781774124762,157281004417571,Directed,373,,,1
726781774124762,1569200470021055,Directed,374,,,1
726781774124762,127481400682647,Directed,375,,,1
726781774124762,731858413564075,Directed,376,,,1
726781774124762,107727232590214,Directed,377,,,1
726781774124762,109874799032225,Directed,378,,,1
726781774124762,267047309977805,Directed,379,,,1
726781774124762,170700836293714,Directed,380,,,1
726781774124762,482568645100680,Directed,381,,,1
726781774124762,167633226631991,Directed,382,,,1
726781774124762,1649225072033098,Directed,383,,,1
726781774124762,130453223781406,Directed,384,,,1
726781774124762,152306518156691,Directed,385,,,1
726781774124762,226296881631,Directed,386,,,1
726781774124762,229476530583896,Directed,387,,,1
726781774124762,129065553829195,Directed,388,,,1
726781774124762,780254582042201,Directed,389,,,1
726781774124762,116470741718097,Directed,390,,,1
726781774124762,1580154392197077,Directed,391,,,1
726781774124762,527452824027200,Directed,392,,,1
726781774124762,709494102515752,Directed,393,,,1
726781774124762,26500661542,Directed,394,,,1
726781774124762,6985046929,Directed,395,,,1
726781774124762,184494718313537,Directed,396,,,1
726781774124762,149029348202,Directed,397,,,1
726781774124762,11648563484,Directed,398,,,1
726781774124762,6883542487,Directed,399,,,1
726781774124762,21700332856,Directed,400,,,1
726781774124762,173188089427182,Directed,401,,,1
726781774124762,1387651274897335,Directed,402,,,1
726781774124762,17637574751,Directed,403,,,1
726781774124762,169299103121699,Directed,404,,,1
